Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,1551,2000,1391,0,1746704551177,1746704552219,12116036,8426199,0
2,0,3760,2000,1463,0,1746704556181,1746704557778,23163360,16944006,0
3,0,4975,2000,501,1314,1746704561182,1746704562498,32632532,8156836,21463542
4,0,6115,2000,853,653,1746704566185,1746704566998,41542260,17699619,13591861
5,0,8267,2000,741,972,1746704571186,1746704572668,52860127,19566099,25715713
6,0,9343,2000,1102,477,1746704576190,1746704578385,54661861,28496751,15345054
7,0,11318,2000,1026,643,1746704581186,1746704583048,52975283,22245305,23553255
8,0,12648,2000,909,789,1746704586190,1746704588265,62326015,24425833,29785258
9,0,14045,2000,1531,0,1746704591190,1746704592090,61344205,46959099,0
10,0,14534,2000,693,1061,1746704596192,1746704597332,75912083,23438906,43886225
11,0,15349,2000,1517,0,1746704601199,1746704601696,50362796,38200166,0
12,0,16879,2000,615,1165,1746704606194,1746704607052,86163042,18767668,60681566
14,1,15569,2000,643,334,1746704616210,1746704617006,88053788,26010565,20660997
15,1,16787,2000,690,179,1746704621207,1746704622044,90919016,31363751,8147087
16,1,18135,2000,526,592,1746704626211,1746704627915,110191165,26980401,37968625
17,1,17509,2000,675,444,1746704631207,1746704632668,99104073,31363447,27138032
18,1,18944,2000,614,403,1746704636220,1746704637619,100479980,28172786,27204022
19,1,20264,2000,564,475,1746704641215,1746704642550,112041878,28643680,34592472
20,1,20489,2000,596,460,1746704646218,1746704646958,113873462,32881863,28910732
21,1,21397,2000,308,1516,1746704651201,1746704651956,168989147,21147468,136187567
22,1,21989,2000,153,1783,1746704656204,1746704656826,161556131,9286219,148575053
23,1,23855,2000,751,243,1746704661214,1746704662401,95376716,34496918,14669370
24,1,24562,2000,697,306,1746704666229,1746704668989,119119296,36588569,30193229
25,1,25551,2000,740,118,1746704671219,1746704673322,113601098,42031120,6705231
26,1,25462,2000,645,413,1746704676225,1746704677711,119851185,33330257,38144913
28,2,24035,2000,625,186,1746704686220,1746704687857,121825304,35135878,19847164
29,2,24828,2000,515,445,1746704692179,1746704694048,138921964,32124971,41922430
30,2,25168,2000,690,201,1746704696243,1746704697409,131413311,45334098,13216693
31,2,26904,2000,486,782,1746704701221,1746704702836,171104314,33592582,86457620
32,2,27248,2000,708,182,1746704706225,1746704707623,127223865,43051436,16676182
33,2,28023,2000,666,261,1746704711228,1746704712817,145335855,43939270,30605219
34,2,28189,2000,533,348,1746704716226,1746704717780,155075952,37794862,37932225
35,2,26534,2000,780,155,1746704721233,1746704723130,147753112,57156599,11819197
36,2,24896,2000,820,179,1746704726235,1746704727367,144030834,53631746,24928794
37,2,23155,2000,634,346,1746704731561,1746704733024,151110617,45027021,33643209
38,2,21634,2000,630,343,1746704736225,1746704737787,157631345,47718188,32125179
39,2,19914,2000,597,662,1746704741222,1746704741710,190075606,48321050,82466705
41,3,17110,2000,341,1196,1746704751357,1746704753115,234397806,29422394,171845273
42,3,15414,2000,598,179,1746704757076,1746704758412,157283309,42578039,27626609
43,3,13746,2000,529,368,1746704761343,1746704762659,160464759,39892349,37395197
44,3,11973,2000,535,212,1746704766334,1746704767587,177230045,42964176,33642488
45,3,10383,2000,768,162,1746704771747,1746704773591,153102934,55489245,19223974
46,3,8520,2000,562,363,1746704776354,1746704778443,166494348,42754053,41962741
47,3,6798,2000,591,136,1746704781347,1746704782875,164326499,47547912,14362096
48,3,5063,2000,487,364,1746704786344,1746704787925,182690317,41626023,42854657
49,3,3378,2000,121,1646,1746704791320,1746704792645,317771447,15727569,271784225
50,3,1717,2000,190,1772,1746704796318,1746704797632,299818259,24259415,271551140
51,3,125,2000,0,2000,1746704801329,1746704803046,285041542,0,285041542
53,4,700,2000,131,1492,1746704815735,1746704817323,282710292,16467556,219665066
54,4,114,700,20,679,1746704817390,1746704818653,98791380,2612988,96062078
55,4,246,114,0,114,1746704822375,1746704824040,18013851,0,18013851
56,4,95,405,0,405,1746704827387,1746704828602,54068692,0,54068692
57,4,196,95,0,95,1746704832376,1746704833864,13928226,0,13928226
58,4,144,196,0,196,1746704837381,1746704838406,31835377,0,31835377
59,4,126,144,0,144,1746704842379,1746704843393,21209754,0,21209754
60,4,101,126,0,126,1746704847378,1746704848918,18463671,0,18463671
61,4,78,101,0,101,1746704852379,1746704854348,15425095,0,15425095
62,4,16,78,0,78,1746704857379,1746704858449,12168071,0,12168071
63,4,3,16,0,16,1746704862375,1746704863448,2621576,0,2621576
64,4,7,3,0,3,1746704867375,1746704868659,609836,0,609836
66,5,0,740,0,740,1746704877395,1746704878477,147844008,0,147844008
67,5,0,0,0,0,1746704882376,1746704883828,0,0,0
68,5,0,0,0,0,1746704887377,1746704888546,0,0,0
69,5,0,0,0,0,1746704892377,1746704893529,0,0,0
70,5,0,0,0,0,1746704897378,1746704898484,0,0,0
71,5,0,0,0,0,1746704902378,1746704903414,0,0,0
72,5,0,0,0,0,1746704907378,1746704908654,0,0,0
